app_id,name,release_date,is_free,languages,type,price_final,price_initial,price_currency,price_final_formatted,price_discount_percent,price_initial_formatted,price_recurring_sub,price_recurring_sub_desc,full_audio_support,has_recurring_subscription,has_discount,language_count
3016600,Our Field Trip Adventure,2024-06-12,False,"English, Japanese",game,1000.0,1450.0,EUR,"10,--€",31.0,"14,50€",,,False,False,True,2
3016610,Bopp File,2024-08-10,False,"English, Simplified Chinese",game,299.0,299.0,EUR,"2,99€",0.0,,,,False,False,False,2
3016620,Alkahest,,False,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Russian, Simplified Chinese, Portuguese - Brazil, Ukrainian",game,,,,,,,,,True,False,False,12
3016640,Knock,2024-06-16,True,English,game,,,,,,,,,False,False,False,1
3016690,JACKPOISON,2024-10-03,False,"Japanese, English",game,879.0,879.0,EUR,"8,79€",0.0,,,,False,False,False,2
3016700,Miss Mantis 螳螂小姐,,False,"English, Simplified Chinese, Traditional Chinese",game,,,,,,,,,True,False,False,3
3016710,Heavy Cargo - The Truck Simulator Demo,2024-06-10,True,"English, French, Italian, German, Spanish - Spain",demo,,,,,,,,,True,False,False,5
3016720,Roku and Rei Demo,2024-05-30,True,English,demo,,,,,,,,,False,False,False,1
3016730,Memo Blox,2024-06-20,False,"English, French, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Latvian",game,99.0,99.0,EUR,"0,99€",0.0,,,,False,False,False,10
3016750,ERO TRAP DUNGEON ROGUELIKE,2024-07-10,False,"English, Simplified Chinese, Traditional Chinese, Japanese",game,1299.0,1299.0,EUR,"12,99€",0.0,,,,True,False,False,4
3016780,Fairy Massage: Lite,2024-07-25,True,"English, French, Italian, German, Spanish - Spain, Bulgarian, Portuguese - Brazil, Hungarian, Vietnamese, Greek, Danish, Indonesian, Spanish - Latin America, Traditional Chinese, Simplified Chinese, Korean, Dutch, Norwegian, Polish, Portuguese - Portugal, Romanian, Russian, Thai, Turkish, Finnish, Czech, Swedish, Japanese",game,,,,,,,,,False,False,False,28
3016800,Mecha BREAK Playtest,2024-07-30,False,,game,,,,,,,,,False,False,False,0
3016810,King of Stocks,2024-06-15,False,"English, Simplified Chinese",game,99.0,99.0,EUR,"0,99€",0.0,,,,False,False,False,2
3016840,I Am Cat,,False,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Portuguese - Portugal, Russian, Simplified Chinese, Traditional Chinese, Ukrainian",game,,,,,,,,,True,False,False,13
3016890,Vibrant Frame,,False,"English, Japanese, Korean, Simplified Chinese, Traditional Chinese",game,,,,,,,,,True,False,False,5
3016920,Awaken: Hentai Dice,,False,"English, Russian",game,,,,,,,,,False,False,False,2
3016980,Love Quiz Battle: LoveLove Quiz,2024-06-27,False,"English, Traditional Chinese",game,99.0,99.0,EUR,"0,99€",0.0,,,,False,False,False,2
3016990,Cursed House 3,2024-07-14,False,English,game,975.0,975.0,EUR,"9,75€",0.0,,,,False,False,False,1
3017000,Cursed House 4,2024-08-05,False,English,game,975.0,975.0,EUR,"9,75€",0.0,,,,False,False,False,1
3017020,KilaFlow Demo,2024-05-30,True,English,demo,,,,,,,,,True,False,False,1
3017030,Cursed House 5,2024-08-20,False,English,game,975.0,975.0,EUR,"9,75€",0.0,,,,False,False,False,1
3017070,Fireball,,False,"English, Turkish",game,,,,,,,,,True,False,False,2
3017080,Ognisco,2024-07-03,False,English,game,412.0,589.0,EUR,"4,12€",30.0,"5,89€",,,True,False,True,1
3017090,Crack it Up! - Prologue,2024-07-09,True,"English, French, Italian, German, Spanish - Spain, Simplified Chinese, Korean, Japanese, Russian, Spanish - Latin America",game,,,,,,,,,False,False,False,10
3017100,LavaLoop,,False,"English, French",game,,,,,,,,,True,False,False,2
3017110,METRIA,,True,"English, Japanese, Indonesian, Traditional Chinese",game,,,,,,,,,False,False,False,4
3017120,Egg Surprise,2024-06-20,True,"English, French, Italian, German, Spanish - Spain, Arabic, Bulgarian, Portuguese - Brazil, Hungarian, Vietnamese, Greek, Danish, Indonesian, Spanish - Latin America, Traditional Chinese, Simplified Chinese, Korean, Dutch, Norwegian, Polish, Portuguese - Portugal, Romanian, Russian, Thai, Turkish, Ukrainian, Finnish, Czech, Swedish, Japanese, Azerbaijani, Albanian, Amharic, Armenian, Assamese, Afrikaans, Basque, Belarusian, Bangla, Bosnian, Valencian, Welsh, Wolof, Galician, Georgian, Gujarati, Dari, Zulu, Hebrew, Igbo, Irish, Icelandic, Yoruba, Kazakh, Kannada, Catalan, Quechua, Kinyarwanda, K'iche', Konkani, Xhosa, Khmer, Kyrgyz, Latvian, Lithuanian, Luxembourgish, Macedonian, Malay, Malayalam, Maltese, Maori, Marathi, Mongolian, Nepali, Odia, Punjabi (Gurmukhi), Punjabi (Shahmukhi), Persian, Serbian, Sotho, Sinhala, Sindhi, Slovak, Slovenian, Sorani, Swahili, Tajik, Tamil, Tatar, Telugu, Tigrinya, Tswana, Turkmen, Uzbek, Uyghur, Urdu, Filipino, Hausa, Hindi, Croatian, Cherokee, Scots, Estonian",game,,,,,,,,,True,False,False,103
3017130,Bashful Adoration,,False,English,game,,,,,,,,,True,False,False,1
3017140,IRONHIVE Demo,2024-06-08,True,English,demo,,,,,,,,,False,False,False,1
3017150,Hellfire Poncho,,False,"English, Spanish - Spain, Spanish - Latin America",game,,,,,,,,,False,False,False,3
3017160,Diana's Quest: From Princess to Peasant,2024-09-18,False,English,game,689.0,689.0,EUR,"6,89€",0.0,,,,False,False,False,1
3017170,双门勇者棋,,False,"Simplified Chinese, English",game,,,,,,,,,False,False,False,2
3017180,A cat's way home,,False,"Simplified Chinese, Japanese",game,,,,,,,,,True,False,False,2
3017190,Z-Factor Demo,2024-06-14,True,"English, Russian",demo,,,,,,,,,True,False,False,2
3017200,VOXEL Hunters Demo,2024-06-06,True,English,demo,,,,,,,,,False,False,False,1
3017210,Luck Auto Chess Demo,2024-06-03,True,"Simplified Chinese, English",demo,,,,,,,,,False,False,False,2
3017250,SMILE SIMULATION,2024-06-13,False,"English, Italian, German, Spanish - Spain, Korean",game,689.0,689.0,EUR,"6,89€",0.0,,,,True,False,False,5
3017270,MagnetWorks,2024-06-21,False,"English, Japanese",game,199.0,199.0,EUR,"1,99€",0.0,,,,False,False,False,2
3017280,Celeros Demo,2024-06-10,True,,demo,,,,,,,,,False,False,False,0
3017290,Colorful Ghost Playtest,2024-05-29,False,,game,,,,,,,,,False,False,False,0
3017320,Synthroute 82,,False,English,game,,,,,,,,,False,False,False,1
3017330,Verho,,False,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Russian, Ukrainian, Simplified Chinese",game,,,,,,,,,True,False,False,11
3017360,Ember Souls,,False,"English, French, German, Spanish - Spain",game,,,,,,,,,True,False,False,4
3017380,100 Egypt Cats,,True,English,game,,,,,,,,,False,False,False,1
3017390,Last Story: Dungeon,,False,"English, Portuguese - Brazil",game,,,,,,,,,False,False,False,2
3017400,Ravensthorn,,False,English,game,,,,,,,,,True,False,False,1
3017410,Hentai Fetishes: Yuri,2024-10-15,False,"English, French, Italian, German, Spanish - Spain, Arabic, Bulgarian, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Indonesian, Japanese, Korean, Norwegian, Polish, Portuguese - Brazil, Portuguese - Portugal, Romanian, Russian, Simplified Chinese, Spanish - Latin America, Swedish, Thai, Turkish, Ukrainian, Vietnamese, Traditional Chinese",game,179.0,199.0,EUR,"1,79€",10.0,"1,99€",,,True,False,True,30
3017420,Object 17,,False,"English, Russian",game,,,,,,,,,False,False,False,2
3017430,Suffocate,,False,English,game,,,,,,,,,True,False,False,1
3017440,Lovely Traps Dungeon Demo,2024-06-18,True,English,demo,,,,,,,,,True,False,False,1
3017450,Dirty League 🔞,2024-10-11,True,"English, French, Italian, German, Spanish - Spain, Czech, Dutch, Indonesian, Japanese, Polish, Romanian, Russian, Simplified Chinese, Turkish, Hindi, Portuguese - Portugal, Swedish",game,,,,,,,,,False,False,False,17
3017470,复仇者小队 Playtest,2024-06-07,False,,game,,,,,,,,,False,False,False,0
3017500,Project: ICARUS Demo,2024-08-17,True,English,demo,,,,,,,,,False,False,False,1
3017540,Slice Of Ages,2024-07-05,True,English,game,,,,,,,,,False,False,False,1
3017550,Argus,2024-06-27,True,English,game,,,,,,,,,False,False,False,1
3017560,Hazy Hollow Demo,2024-05-30,True,English,demo,,,,,,,,,False,False,False,1
3017570,Mary,,False,"English, Portuguese - Brazil, Spanish - Spain",game,,,,,,,,,False,False,False,3
3017580,Paragnosia,,False,English,game,,,,,,,,,False,False,False,1
3017640,Neon City,,False,English,game,,,,,,,,,True,False,False,1
3017680,Garden Apocalypse Demo,,True,English,demo,,,,,,,,,True,False,False,1
3017700,Love & Cards,,False,English,game,,,,,,,,,False,False,False,1
3017730,Unbox the Room,,False,"English, French, Italian, German, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Turkish, Spanish - Spain",game,,,,,,,,,False,False,False,12
