publisher_primary,game_count,review_score,avg_owners_mid,avg_language_count,avg_positive_review_ratio,avg_active_users_rate,recent_release_count,recent_release_ratio,avg_owners_mid_norm,avg_language_count_norm,game_count_norm,recent_release_count_norm,avg_active_users_rate_norm
Ziggurat,123,6.095890410958904,60569.10569105691,1.8048780487804879,0.7867185459253927,1.962059620596206e-05,10,0.08130081300813008,0.23073863361792762,0.22206573134264257,0.6310805003494486,0.49581379227537004,0.4275184275184275
Zloy Krot Studio,13,5.230769230769231,41923.07692307692,1.0,0.5536528354486445,6.593406593406593e-07,0,0.0,0.1836021769199155,0.14924393652741208,0.06282758118853439,0.0,0.16461916461916462
Zombie Developer,12,5.0,10000.0,2.0833333333333335,0.4458128078817734,0.0,11,0.9166666666666666,0.0,0.24244541153165952,0.04352095933159413,0.5138051705001512,0.07678132678132678
Zoo Corporation,42,6.166666666666667,20952.380952380954,3.4523809523809526,0.7606588526140797,2.4285714285714288e-05,7,0.16666666666666666,0.09475108872785418,0.32155755856969676,0.3551684159285284,0.4299669832502795,0.4619164619164619
aNCHOR Inc.,11,7.818181818181818,27727.272727272728,2.1818181818181817,0.8696978541314432,0.00033454545454545456,2,0.18181818181818182,0.13064106128607403,0.24921519609924006,0.022668219139849854,0.22716051499996484,0.9017199017199017
artoonu,22,6.25,10000.0,1.0,0.7746310705499844,3.6363636363636364e-05,12,0.5454545454545454,0.0,0.14924393652741208,0.1921594055706405,0.53035563410288,0.5313267813267813
astragon Entertainment,29,5.758620689655173,242758.62068965516,9.724137931034482,0.6462428149611196,0.00012952380952380952,4,0.13793103448275862,0.40858809948410346,0.5108306199272273,0.26138044074291994,0.33278413942759594,0.7616707616707616
azimuth team,17,4.6,88235.29411764706,1.1764705882352942,0.4245682531688604,0.0,0,0.0,0.27893528371024706,0.16745028260471914,0.12830005996515034,0.0,0.07678132678132678
b-alive gmbh,16,5.25,39375.0,6.5,0.635647133138702,5.875e-05,0,0.0,0.17556927660344032,0.4338357955431288,0.11340914000229768,0.0,0.6117936117936118
baKno Games,25,5.0,16600.0,10.08,0.5061810797463429,2.8e-05,1,0.04,0.06492263869544729,0.5178594424004634,0.22409978394868502,0.14332232775009315,0.48894348894348894
beans rolls,30,5.2727272727272725,17166.666666666668,1.0,0.4182366616680342,0.0,2,0.06666666666666667,0.06922258527923893,0.14924393652741208,0.26992285111526687,0.22716051499996484,0.07678132678132678
bhungry,12,6.2,17500.0,5.583333333333333,0.7216977822137249,3.976190476190476e-05,5,0.4166666666666667,0.07168614744673715,0.40576713795288505,0.04352095933159413,0.370482842750058,0.5454545454545454
bitComposer Interactive GmbH,12,4.75,10000.0,1.5833333333333333,0.43646947419815774,2.5e-05,2,0.16666666666666666,0.0,0.2043498437809372,0.04352095933159413,0.22716051499996484,0.46867321867321865
cBlck,16,4.666666666666667,21875.0,1.0,0.4122567587641117,0.0,0,0.0,0.10027130823046211,0.14924393652741208,0.11340914000229768,0.0,0.07678132678132678
derevotyan,11,6.6,14545.454545454546,1.7272727272727273,0.862990761291254,2.7272727272727276e-05,0,0.0,0.04799747847206177,0.2160244756851258,0.022668219139849854,0.0,0.4858722358722359
eSolutions Nordic AB,15,6.0,23666.666666666668,1.1333333333333333,0.880405643738977,0.00014,1,0.06666666666666667,0.11035598415975716,0.16313995056651948,0.09761520293164012,0.14332232775009315,0.7782555282555282
ebi-hime,38,7.176470588235294,19342.105263157893,2.1052631578947367,0.8931206151363369,1.7644110275689224e-05,10,0.2631578947368421,0.0845070096108553,0.2439713816829586,0.3297316247739855,0.49581379227537004,0.4090909090909091
exosyphen studios,18,4.8,92777.77777777778,0.8888888888888888,0.5258722641344364,2.343915343915344e-05,0,0.0,0.28536628152027577,0.13693695912580797,0.14238566189952076,0.0,0.4520884520884521
familyplay,48,5.27027027027027,12604.166666666666,4.583333333333333,0.6323452603296836,1.9345238095238094e-05,0,0.0,0.029647126808355982,0.37029311419951955,0.3891976086796104,0.0,0.4262899262899263
grin robot,10,6.6,12500.0,18.0,0.9167411602322089,0.0,0,0.0,0.02858406286464565,0.6339774241894218,0.0,0.0,0.07678132678132678
inXile Entertainment,11,6.7272727272727275,295909.0909090909,5.545454545454546,0.7767528970744899,0.00015594805194805194,0,0.0,0.4339515576037735,0.40452470238132215,0.022668219139849854,0.0,0.7972972972972973
indie.io,68,6.632352941176471,64852.94117647059,5.985294117647059,0.7917674205035924,0.00024616526610644256,42,0.6176470588235294,0.23949309583069103,0.41852788472604535,0.47837007101303197,0.777704895632193,0.8624078624078624
indie_games_studio,22,4.45,35454.545454545456,4.954545454545454,0.40131294980892346,1.038961038961039e-05,0,0.0,0.1621336457693062,0.38415260657165606,0.1921594055706405,0.0,0.33783783783783783
indiegames3000,16,5.25,11562.5,1.0,0.5093821720032266,1.8750000000000002e-05,4,0.25,0.018597343952226068,0.14924393652741208,0.11340914000229768,0.33278413942759594,0.4201474201474201
indienova,21,7.411764705882353,31190.47619047619,6.857142857142857,0.8974924121179221,6.335600907029479e-05,5,0.23809523809523808,0.14571846464171498,0.4438521823299286,0.18057882461709088,0.370482842750058,0.6314496314496314
kazakovstudios,41,5.897435897435898,15853.658536585366,103.0,0.7148408642780035,1.3588850174216028e-05,8,0.1951219512195122,0.059029695555138664,1.0,0.34903824663092586,0.4543210299999297,0.36609336609336607
khukhrovr,43,5.785714285714286,27209.302325581397,103.0,0.6930400364043346,7.176079734219269e-06,1,0.023255813953488372,0.12822532814015672,1.0,0.36115764923418164,0.14332232775009315,0.269041769041769
kovalevviktor,40,5.631578947368421,21250.0,103.0,0.6644553002194421,2.5e-06,0,0.0,0.09655792551428603,1.0,0.34276034828214924,0.0,0.19164619164619165
lightUP,20,6.833333333333333,10000.0,2.8,0.9178177033910117,0.0,7,0.35,0.0,0.2874437349748375,0.168459422013835,0.4299669832502795,0.07678132678132678
magnussoft,52,,10480.76923076923,2.0,0.5398015873015873,2.307692307692308e-05,22,0.4230769230769231,0.006015009312282123,0.23654604285595657,0.409641047648492,0.6483274292638558,0.44963144963144963
meokigame,10,5.111111111111111,12500.0,4.4,0.6108184272890156,2e-05,0,0.0,0.02858406286464565,0.36310443935328535,0.0,0.0,0.43243243243243246
