scenario_id,scale_reach_weight,quality_weight,engagement_weight,momentum_weight,weight_distance_from_baseline,publisher_primary,overall_score,rank,baseline_rank,rank_change,absolute_rank_change
S081,0.45,0.3,0.2,0.05,0.14142135623730953,War Child Gaming,0.23652978053983706,729.0,743.0,-14.0,14.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,Warfare Studios,0.27982035065604727,661.0,705.0,-44.0,44.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,Warner Bros. Games,0.7197923677144665,9.0,12.0,-3.0,3.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,Warner Bros. Interactive Entertainment,0.6325565422236916,45.0,87.0,-42.0,42.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,WayForward,0.5220643129157274,172.0,200.0,-28.0,28.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,Whale Rock Games,0.39775383254453667,405.0,423.0,-18.0,18.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,WhisperGames,0.5915009446774492,86.0,66.0,20.0,20.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,Whitethorn Games,0.4907630098500075,228.0,232.0,-4.0,4.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,Wholetone Games,0.3104151308436251,599.0,612.0,-13.0,13.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,William at Oxford,0.22198385661565223,744.0,760.0,-16.0,16.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,WindField Games,0.4157194331102922,368.0,293.0,75.0,75.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,Winged Cloud,0.5028281299273571,206.0,218.0,-12.0,12.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,Winter Wolves,0.31577698722136704,591.0,588.0,3.0,3.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,Wired Productions,0.5481981010190315,131.0,115.0,16.0,16.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,Wolfs Moon Studios,0.4281260593190111,344.0,285.0,59.0,59.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,Wolverine Studios,0.3506226001670799,522.0,484.0,38.0,38.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,XSEED Games,0.573637483105852,104.0,107.0,-3.0,3.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,XSGames,0.3109937231443943,597.0,478.0,119.0,119.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,Xbox Game Studios,0.7512653206007046,6.0,6.0,0.0,0.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,Xitilon,0.31290961782348076,594.0,626.0,-32.0,32.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,Y Press Games,0.39116914354709753,420.0,410.0,10.0,10.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,YAW Studios,0.41834640620561886,366.0,375.0,-9.0,9.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,Yaeko,0.39980310020163073,401.0,319.0,82.0,82.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,Yai Gameworks,0.30770987637444486,604.0,656.0,-52.0,52.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,Yamate,0.3543812447565569,512.0,442.0,70.0,70.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,Yash Future Tech Solutions Pvt Ltd,0.24749091567838438,716.0,696.0,20.0,20.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,Yogscast Games,0.6314852461470564,46.0,24.0,22.0,22.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,Zachtronics,0.6139695123286476,61.0,88.0,-27.0,27.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,ZangGames,0.21673814587490864,750.0,759.0,-9.0,9.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,ZaxtorGameS,0.3268999730619242,570.0,544.0,26.0,26.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,Zeiva Inc,0.2738434783097973,676.0,701.0,-25.0,25.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,Zerouno Games,0.3561340244404917,508.0,495.0,13.0,13.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,Ziggurat,0.4049155474115071,387.0,412.0,-25.0,25.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,Zloy Krot Studio,0.25746630818557825,703.0,731.0,-28.0,28.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,Zombie Developer,0.19737993254193925,764.0,694.0,70.0,70.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,Zoo Corporation,0.3710949951166731,474.0,473.0,1.0,1.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,aNCHOR Inc.,0.5240949477685437,170.0,165.0,5.0,5.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,artoonu,0.35314049795879277,517.0,422.0,95.0,95.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,astragon Entertainment,0.5297590124995041,156.0,207.0,-51.0,51.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,azimuth team,0.23897317534615248,724.0,761.0,-37.0,37.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,b-alive gmbh,0.38245595350564776,442.0,525.0,-83.0,83.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,baKno Games,0.30331736160760936,620.0,650.0,-30.0,30.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,beans rolls,0.18611837302577597,770.0,769.0,1.0,1.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,bhungry,0.3884701776634429,426.0,393.0,33.0,33.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,bitComposer Interactive GmbH,0.23575087221576216,731.0,714.0,17.0,17.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,cBlck,0.17302070071761183,776.0,780.0,-4.0,4.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,derevotyan,0.3633443564297388,492.0,533.0,-41.0,41.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,eSolutions Nordic AB,0.4303224819487867,339.0,359.0,-20.0,20.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,ebi-hime,0.401990306483044,394.0,365.0,29.0,29.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,exosyphen studios,0.33435471770647784,553.0,622.0,-69.0,69.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,familyplay,0.28717218329946576,649.0,684.0,-35.0,35.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,grin robot,0.320215670199417,583.0,632.0,-49.0,49.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,inXile Entertainment,0.572137531507664,107.0,163.0,-56.0,56.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,indie.io,0.5501139121693115,128.0,69.0,59.0,59.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,indie_games_studio,0.26098413488508315,695.0,730.0,-35.0,35.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,indiegames3000,0.25721949072878836,704.0,675.0,29.0,29.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,indienova,0.49042066539402696,230.0,224.0,6.0,6.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,kazakovstudios,0.38711990288113807,430.0,453.0,-23.0,23.0
