scenario_label,scale_reach_weight,quality_weight,engagement_weight,momentum_weight,weight_distance_from_baseline,mean_absolute_rank_change,spearman_correlation,top_5_overlap,top_10_overlap,top_20_overlap
BASELINE,0.35,0.3,0.2,0.15,0.0,0.0,0.9999999999999999,1.0,1.0,1.0
SCALE_REACH,0.44999999999999996,0.25384615384615383,0.16923076923076924,0.12692307692307692,0.11665962221617768,21.663291139240506,0.9923093262893355,0.8,0.9,0.85
QUALITY,0.3,0.4,0.17142857142857146,0.1285714285714286,0.11736911946539276,21.40253164556962,0.99226972692441,1.0,0.9,0.95
ENGAGEMENT,0.30624999999999997,0.26249999999999996,0.30000000000000004,0.13124999999999998,0.11692679333668572,21.513924050632912,0.9912128352080458,1.0,0.9,0.95
MOMENTUM,0.30882352941176466,0.2647058823529412,0.17647058823529413,0.25,0.11616716269489118,37.08101265822785,0.9764219491223609,0.8,0.9,0.85
